model,precision,recall,mAP50,mAP50-95
Model 1,[    0.65911],[    0.63476],0.6499955492646692,0.2673945119107443
Model 2,[    0.22504],[    0.13918],0.12387423911319861,0.034837474472834494
Model 3,[   0.053959],[   0.045386],0.014050904640060553,0.0029931896366005633
