model,precision,recall,mAP50,mAP50-95
Model 3,[    0.90114],[    0.82143],0.8863053284487293,0.4591331254083874
Model 2,[    0.14232],[    0.11071],0.045844261611974205,0.009958491319480098
Model 1,[   0.018614],[   0.019643],0.0030026144753919574,0.0006210987841270001
