model,precision,recall,mAP50,mAP50-95
Model 2,[    0.52664],[    0.35233],0.38553515447927106,0.14082791636657535
Model 1,[   0.096846],[       0.15],0.04019555611245473,0.01497041964520158
Model 3,[   0.091827],[   0.066667],0.02757235617144645,0.006949249190146474
